token,frequency
but is less,2
restaurant however is,2
£20 that has,2
an average shop,2
average shop not,2
for somewhere to,2
the kids try,2
are moderate serves,2
english dishes and,2
district near but,2
child friendly perfect,2
friendly perfect rated,2
perfect rated french,2
named pub is,2
food restaurant pub,2
restaurant pub in,2
rated highly for,2
priced average non-family-friendly,2
average non-family-friendly french,2
non-family-friendly french coffee,2
shop the restaurant,2
the restaurant boasts,2
fries at a,2
a cost effective,2
named family friendly,2
5 near along,2
a sushi place,2
sushi place called,2
place called '__slot_con_name__,2
and spirits located,2
spirits located near,2
centre named made,2
named made japanese,2
pub where the,2
and below average,2
prices is family-friendly,2
pub city centre,2
cheap menu and,2
food outlet coffee,2
outlet coffee shop,2
food costing over,2
over 30 euro,2
30 euro is,2
of 5 low-cost,2
low-cost 3 star,2
serves british fare,2
food place on,2
serving italian meals,2
italian meals in,2
and family events,2
the riverside welcomes,2
fast coffee shop,2
5 are a,2
are a high,2
japanese cuisine by,2
area has pub,2
has pub eating,2
pub eating with,2
eating with prices,2
the menu less,2
menu less than,2
low provides indian,2
with mid-range prices,2
french style foods,2
style foods is,2
burger diner near,2
moderate pricing coffee,2
center near start,2
rating as it,2
food place serving,2
a scenic view,2
and also offers,2
budget with a,2
french riverside restaurant,2
a very cool,2
very cool restaurant,2
restaurant of sushi,2
in riverside children-friendly,2
riverside children-friendly customer,2
of 5. high,2
5. high price,2
italian venue which,2
venue which offers,2
cuisine its customer,2
food and will,2
rating with japanese,2
they offer kid,2
offer kid friendly,2
is cheap by,2
child-friendly pub serving,2
than £30 family-friendly,2
an english child,2
english child friendly,2
is pretty expensive,2
indian food ranging,2
ranging in 20-25,2
in 20-25 pounds,2
children fast food,2
kid-friendly provides chinese,2
cheeses wines and,2
wines and desserts,2
is £20-25 near,2
low priced riverside,2
pounds a kid,2
rating are not,2
about £30 and,2
and over and,2
sushi bar low,2
bar low priced,2
priced in town,2
their italian food,2
will find serving,2
friendly offers expensive,2
£20 serving french,2
serves indian for,2
children welcome located,2
welcome located in,2
serves chinese its,2
chinese its customer,2
near of offers,2
experience and is,2
is 20-25 european,2
20-25 european dollars,2
dollars for a,2
for a special,2
city a french,2
expensive price point,2
price point that,2
point that is,2
star pub it,2
to eat on,2
eat on the,2
located just south,2
centre the kid,2
meals at reasonable,2
that provides tasty,2
friendly english eating,2
riverside is next,2
range to £20-25,2
to £20-25 great,2
£20-25 great service,2
great service an,2
service an italian,2
italian food riverside,2
rated average english,2
average english pub,2
pub grub located,2
grub located in,2
great meal with,2
meal with wine,2
with wine for,2
dinner located near,2
friendly establishment but,2
establishment but is,2
called offers expensive,2
offering low price,2
low price indian,2
nice sushi restaurant,2
family place that,2
an affordable option,2
option is an,2
and while it,2
friendly dining venue,2
dining venue serving,2
japanese cuisine available,2
cuisine available but,2
available but the,2
served at at,2
a 3of5 stars,2
3of5 stars coffee,2
shop price moderate,2
price moderate called,2
moderate called serves,2
while enjoying their,2
near the outside,2
the outside the,2
centre but does,2
restaurant with menus,2
with menus ranging,2
menus ranging around,2
ranging around £20-25,2
named but no,2
but no it,2
is customers have,2
restaurant not for,2
a customer of,2
than 30 restaurant,2
£30 a children,2
range not kid,2
customer of 1,2
a mid-priced eatery,2
priced by the,2
is called for,2
there is close,2
close to customers,2
kid-friendly and as,2
serves traditional japanese,2
indian restaurant if,2
a taste of,2
cambridge is the,2
restaurant for you,2
you located near,2
low quality restaurant,2
quality restaurant that,2
is a cool,2
a cool indian,2
down close to,2
called customers love,2
it and its,2
and its super,2
its super easy,2
super easy to,2
to find from,2
find from the,2
from the parking,2
the parking lot,2
parking lot kids,2
lot kids and,2
kids and coffee,2
and coffee do,2
coffee do n't,2
do n't mix,2
n't mix so,2
mix so be,2
so be sure,2
sure to not,2
not be that,2
be that guy,2
not child-friendly with,2
with customers this,2
customers this is,2
the check out,2
rated riverside fast,2
shop in cambridge,2
priced and does,2
customer ratings 5,2
it has perfect,2
5-star rating offers,2
riverside although it,2
the customers in,2
family-friendly situated in,2
food establishment has,2
has a starting,2
food while its,2
while its price,2
quite high more,2
environment where you,2
it offers the,2
offers the family,2
the family fine,2
family fine dining,2
area providing food,2
and drinks family,2
friendly rated one,2
within riverside is,2
try cambridge 's,2
centre for children-friendly,2
for children-friendly venues,2
children-friendly venues many,2
venues many coffee,2
many coffee shops,2
shops are average,2
are average cost,2
average cost if,2
cost if you,2
food the cost,2
the cost will,2
cost will be,2
will be high,2
be high check,2
high check out,2
pub as well,2
medium pricing is,2
for their expensive,2
menu located in,2
is the providing,2
pub called offering,2
star children friendly,2
open to customers,2
to customers of,2
mid priced english,2
the italian place,2
not family-friendly price,2
food near area,2
fairly priced japanese,2
by the offers,2
the food at,2
have the best,2
the best burgers,2
with food and,2
customers and provides,2
the offers quality,2
american food at,2
and inexpensive place,2
inexpensive place for,2
of wine next,2
wine next to,2
area riverside its,2
riverside its not,2
friendly status the,2
called offers high,2
type of pub,2
high costumer ratings,2
costumer ratings it,2
food pop along,2
pop along to,2
moderately-priced italian with,2
to our customer,2
high we serve,2
pounds and we,2
shop near tucson,2
tucson furniture in,2
furniture in the,2
30 pound and,2
pound and people,2
rating high family,2
high family friendly,2
in spite of,2
of a low,2
5 and situated,2
food outlet has,2
outlet has a,2
restaurant and costs,2
a reasonable amount,2
amount is a,2
provides child friendly,2
nearby the the,2
asian cuisine is,2
and cheese the,2
by the with,2
and hold a,2
averagely priced restaurant,2
average indian cuisine,2
child-friendly riverside setting,2
pub eatery called,2
riverside provides french,2
riverside sells italian,2
to pay low,2
quality asian cuisine,2
and value for,2
price range 20-25,2
cuisine kid friendly,2
centre in moderate,2
area serves highly,2
called selling french,2
's cheap as,2
as well you,2
well you can,2
it by in,2
's named is,2
kid-friendly moderately-priced eatery,2
moderately-priced eatery with,2
eatery with riverside,2
shop who is,2
served french food,2
customers a pub,2
family-friendly but does,2
rated but low,2
gets great customer,2
restaurant which can,2
centre offering food,2
english moderately priced,2
shop serving coffee,2
as well and,2
pricey pub serving,2
reviews is near,2
food near pub,2
to the while,2
centre customers give,2
hamburger joint that,2
is kid-friendly in,2
kid-friendly in riverside,2
but has italian,2
and cheap japanese,2
place serving cheap,2
range and offers,2
inexpensive food is,2
and is loved,2
near a provides,2
and is deemed,2
is deemed as,2
riverside it had,2
had a moderate,2
of 5 your,2
friendly and serving,2
medium priced italian,2
the provides cheap,2
pounds serves indian,2
customer reviews has,2
is kids-friendly has,2
family-friendly situated by,2
5 with high-priced,2
high-priced range with,2
centre offers expensive,2
child-friendly atmosphere in,2
is child-friendly near,2
near a great,2
a great breakfast,2
great breakfast with,2
coffee can be,2
food considered child,2
rating is relative,2
is relative high,2
relative high and,2
that 's normally,2
under twenty pounds,2
£20 is providing,2
star customer service,2
is expensive called,2
the riverside city,2
riverside city centre,2
city named not,2
is family-friendly we,2
family-friendly we have,2
costumer rating with,2
that got a,2
friendly and specializes,2
you are craving,2
priced kid-free restaurant,2
restaurant give a,2
is near kids,2
eat at japanese,2
area offers expensive,2
offers expensive indian,2
among customers and,2
food the child,2
price is over,2
cheap japanese venue,2
a one-star rated,2
they serve medium-priced,2
serve medium-priced wine,2
medium-priced wine and,2
pricey italian food,2
and very highly,2
area and they,2
're prices are,2
ratings for serving,2
pub offers great,2
great prices for,2
prices for food,2
near based in,2
the ranges between,2
ranges between twenty,2
twenty and twenty-five,2
and twenty-five dollars,2
twenty-five dollars with,2
delivers take-away a,2
riverside a kids,2
next to crown,2
french that the,2
found that place,2
near is yes,2
range with less,2
friendly offers 5,2
centre near leave,2
children at and,2
at and come,2
and come to,2
to a 1-star,2
a 1-star french-style,2
riverside in city,2
coffee shop service,2
japanese kid-friendly coffee,2
go with family,2
is high-priced coffee,2
the is 3,2
sushi place it,2
star pub offering,2
indian and has,2
serves excellent japanese,2
friendly with good,2
are in city,2
around is the,2
is the closest,2
place of chinese,2
moderate priced place,2
pub it not,2
then 20. they,2
with your best,2
your best friend,2
best friend to,2
friend to restaurant,2
to restaurant and,2
restaurant and eat,2
eat the bes,2
the bes food,2
bes food in,2
cuisine sells italian,2
centre area its,2
5 though is,2
hotel near is,2
place but in,2
but in city,2
centre has cheap,2
boasts low prices,2
you can drink,2
eat burgers and,2
pay a bit,2
quality you get,2
in riverside 1,2
pub the family-friendly,2
rated expensive non-children,2
friendly near you,2
it sells cheap,2
to and family,2
italian cuisine priced,2
cuisine priced high,2
priced high the,2
five it 's,2
located near family-friendly,2
near riverside pub,2
gave it an,2
a local restaurant,2
's one star,2
cheap menu an,2
area not recommended,2
range is usually,2
£20-25 a family,2
dine on french,2
food at where,2
to pay £30,2
with 5 of,2
ratings named near,2
an english yes,2
shop 5 star,2
rating and great,2
and fries restaurant,2
family located on,2
for fine dining,2
fine dining is,2
cheap italian shop,2
italian shop in,2
friendly zone with,2
zone with a,2
that serves quality,2
serves quality food,2
served is a,2
located conveniently on,2
conveniently on the,2
it has lower,2
has lower than,2
rated this as,2
this as average,2
near offers 5,2
food location in,2
friendly the cheap,2
called serving italian,2
for a non-family-friendly,2
that receives average,2
establishment called near,2
cheap priced italian,2
reviews a children,2
near take your,2
family by the,2
good priced fast,2
with indian for,2
a indian serving,2
high with it,2
with it being,2
it being in,2
centre near unfortunately,2
near unfortunately is,2
unfortunately is not,2
called although not,2
and prices more,2
foods located near,2
of 5 find,2
try a restaurant,2
is 20-25 english,2
english sterling is,2
sterling is a,2
low ratings in,2
fast food moderate,2
price range area,2
range area riverside,2
area riverside eat,2
riverside eat type,2
eat type fast,2
kids it has,2
pub pub offers,2
shop of sushi,2
food we do,2
n't love the,2
one star for,2
for somewhere cheap,2
cheap for all,2
the family try,2
and chesterton rd,2
wonderful indian food,2
a low-priced wine,2
friendly situated within,2
within the area,2
in the with,2
's food is,2
out for a,2
for a fun,2
in riverside right,2
at the a,2
the a none,2
none family-friendly coffee,2
ratings for a,2
in 5of5 located,2
customers this establishment,2
and offers menu,2
adults only in,2
only in riverside,2
rather low is,2
coffee shop aimed,2
towards adults with,2
called for japanese,2
the cheap pub,2
average-priced chinese food,2
river at the,2
at the kid-friendly,2
customers and offers,2
at near with,2
an average-rated venue,2
average-rated venue near,2
venue near selling,2
have cheap price,2
an italian and,2
serves authentic indian,2
great italian restaurant,2
kid friendly offering,2
friendly offering japanese,2
serves chinese dishes,2
is very kids,2
is a moderately-rated,2
low rating however,2
rating however you,2
however you can,2
food near prices,2
is it located,2
5 rating try,2
centre is adult,2
eatery along the,2
singles and couples,2
compared to other,2
cheap five-star cheese,2
english restaurant offering,2
offering food in,2
priced moderately it,2
moderately it is,2
costs 20-25 euros,2
riverside in cambridge,2
prices and great,2
city called it,2
above-average priced pub,2
riverside area while,2
area while the,2
expect to be,2
shop a 3,2
shop offers family,2
friendly dining and,2
and food wine,2
price range yet,2
yet child friendly,2
and food prices,2
rated french venue,2
venue with low,2
low ratings that,2
restaurant near close,2
1 star value,2
star value meals,2
offering chinese fare,2
a moderately good,2
£20-£25 serves english,2
moderately prices and,2
age groups the,2
of 5. found,2
area customers are,2
called the riverside,2
is the not,2
the not a,2
is riverside price,2
food it cost,2
£30 it located,2
near riverside customer,2
low it 's,2
has a quite,2
to come if,2
come if you,2
want the best,2
kids to a,2
rated but family-friendly,2
charges between £20,2
area but has,2
that £20 and,2
range not suitable,2
fast food down,2
at pub where,2
great asian cuisine,2
rated 3 star,2
a not children-friendly,2
an expensive wine,2
expensive wine tasting,2
wine tasting place,2
tasting place located,2
food prices average,2
provides a coffee,2
shop atmosphere is,2
friendly the moderately,2
serves indian the,2
it one out,2
high price place,2
is family-friendly known,2
family-friendly known as,2
is near we,2
available near at,2
restaurant of food,2
of food located,2
in riverside rating,2
priced british café,2
love it 's,2
ranges in the,2
friendly venue for,2
english food under,2
food under 20,2
is high fast,2
cost and low,2
rating a very,2
eatery serves japanese,2
called french food,2
spirits is a,2
poorly-rated indian pub,2
customer ratings indian,2
ratings indian food,2
5 moderate city,2
moderate city centre,2
called near on,2
place provides indian,2
which is known,2
known for having,2
non family-friendly but,2
go wrong is,2
wrong is a,2
sit-down restaurant near,2
in an area,2
an area of,2
called customers rated,2
rated with average,2
breakfast pub located,2
20 euros or,2
euros or less,2
and fry joint,2
five-star rated restaurant,2
cambridge it serves,2
a medium-priced menu,2
sushi a family,2
price the coffee,2
shop offers more,2
offers more than,2
family-friendly pub they,2
riverside french venue,2
near its children,2
riverside the place,2
3-5 is a,2
a meal the,2
higher than normal,2
than normal prices,2
normal prices located,2
ranges from l20-25,2
pub is kid-friendly,2
kid-friendly with moderate,2
restaurant with coffee,2
that gets low,2
kids and adults,2
range a highly,2
priced very well,2
very well rated,2
for their italian,2
their italian cuisine,2
reasonably-priced italian food,2
setting coffee shop,2
a children-friendly and,2
moderately priced received,2
's for adults,2
moderate pub that,2
star family safe,2
pub restaurant a,2
restaurant a high,2
average priced meals,2
near serves moderate,2
restaurant is that,2
is providing italian,2
riverside is fast,2
indian and is,2
found to be,2
great location by,2
5 rating to,2
cheap priced pub,2
try near has,2
is they do,2
the yes is,2
yes is kids,2
is £20-25 coffee,2
side near and,2
price restaurant whit,2
what you can,2
quality sushi restaurant,2
and offer english,2
and affordable japanese,2
japanese dining experience,2
a customer rate,2
customer rate of,2
a restaurant aimed,2
serves well priced,2
well priced quality,2
priced quality english,2
location near it,2
eatery at the,2
£30 range has,2
range has low,2
and moderately expensive,2
moderate prices its,2
prices its located,2
5 and near,2
food venue that,2
shop style and,2
hotel that is,2
high pricing is,2
yes the is,2
and above in,2
pub setting near,2
a highly-rated and,2
the river go,2
river go to,2
for five star,2
family restaurant which,2
near '__slot_con_near__ there,2
'__slot_con_near__ there is,2
called offers english,2
children the price,2
high and costumers,2
called a japanese,2
for adults named,2
riverside area meals,2
in luton suitable,2
luton suitable for,2
is restaurant italian,2
restaurant italian with,2
chinese place near,2
has a typical,2
a typical fast,2
typical fast food,2
5 for high,2
not children-friendly located,2
the indian foods,2
the riverside both,2
and average is,2
of about £20-25,2
prices a coffee,2
per head and,2
priced between 20,2
rating restaurant provides,2
provides highly rated,2
the riverside low,2
children pub serves,2
between 20-25. close,2
20-25. close the,2
place with one,2
has good continental,2
good continental dishes,2
continental dishes at,2
dishes at good,2
city center offering,2
chinese pub the,2
mid range eatery,2
range eatery located,2
looking for moderately-priced,2
with a british,2
's an ideal,2
an ideal place,2
ideal place to,2
small children and,2
children and babies,2
high priced child-friendly,2
near is on,2
£20 a head,2
zone is a,2
very cheap with,2
inexpensive japanese coffee,2
center and does,2
ratings has indian,2
family-friendly venue but,2
venue but has,2
near riverside but,2
of riverside serves,2
pub 1 out,2
to this pub,2
out 5 rated,2
moderately-priced indian food,2
is family restaurant,2
meal is over,2
meal and is,2
child-friendly place it,2
a very nice,2
nice italian restaurant,2
can be rather,2
near and child,2
food its no,2
its no family-friendly,2
it is ranked,2
restaurant a highly,2
family-friendly cheap price,2
city center server,2
center server up,2
server up cheap,2
up cheap english,2
stars and yes,2
and yes children,2
yes children are,2
always welcome there,2
food called cheap,2
children friendly cost,2
friendly cost more,2
named on the,2
rating sells cheap,2
food near their,2
cheap restaurant for,2
restaurant for dinner,2
for dinner of,2
dinner of the,2
the best hamburgers,2
best hamburgers in,2
hamburgers in the,2
£20 that offers,2
shop atmosphere and,2
average ratings has,2
ratings has average,2
area offering food,2
the riverside will,2
highly-rated restaurant near,2
one with low,2
japanese restaurant however,2
however is low,2
attracts a customer,2
area near average,2
near average customer,2
the has japanese,2
friendly indian in,2
friendly priced 20-25,2
pub food go,2
food restaurant next,2
5 rating not,2
shop called restaurant,2
called restaurant serves,2
range to suit,2
to suit the,2
suit the upper,2
the upper class,2
upper class we,2
class we have,2
near japanese restaurant,2
£30 and higher,2
and higher price,2
burgers and other,2
and other food,2
have earned an,2
range the indian,2
a pub so,2
family-friendly restaurant this,2
from the not,2
families but has,2
pub grub providing,2
grub providing japanese,2
called near serving,2
restaurant a 3,2
family safe restaurant,2
but have received,2
have received poor,2
range has fast,2
low-priced french coffee,2
place serving indian,2
for adults not,2
centre a place,2
high priced city,2
centre children friendly,2
also serves take,2
serves take away,2
near the serve,2
stunning french restaurant,2
well priced japanese,2
venue serves italian,2
food called yes,2
called yes the,2
riverside location there,2
a restaurant names,2
riverside area charges,2
area charges a,2
above average but,2
is highly rates,2
highly rates it,2
rates it 's,2
love is a,2
not family-friendly come,2
20-25 is an,2
normally more than,2
called got english,2
fast-food pub with,2
city provides japanese,2
its highly rated,2
centre has french,2
adult indian coffee,2
coffee house near,2
near restaurant provides,2
an is in,2
range near to,2
with expensive food,2
expensive food is,2
range serves sushi,2
friendly no is,2
no is japanese,2
rank and more,2
the is average,2
and a less,2
range the family,2
out of 3,2
n the riverside,2
£20-25 by riverside,2
gave it 5,2
that welcomes all,2
families it offers,2
items and is,2
french restaurant moderately,2
are located next,2
you are sure,2
sure to enjoy,2
it is café,2
is café shop,2
café shop which,2
which is next,2
next to their,2
to their prices,2
the near located,2
riverside near average,2
near average rating,2
20 with an,2
cheap lowly rated,2
rating serves pub,2
pub food the,2
food the english,2
food with £20-25,2
with £20-25 for,2
£20-25 for kids,2
providing take away,2
take away deliveries,2
away deliveries in,2
that is around,2
only has 1,2
is kid-friendly serves,2
a high-rated italian,2
atmosphere serves indian,2
affordable good quality,2
yes near crown,2
hotel the restaurant,2
serving italian fare,2
italian fare in,2
prices between 20-25,2
adult-only located in,2
family-friendly that has,2
pub has low,2
find highly rated,2
at the close,2
customer rated has,2
kids and friends,2
it is ranged,2
is ranged more,2
that is 1,2
price located by,2
five for a,2
serves families and,2
pounds a cheap,2
river and next,2
you can purchase,2
cheap price a,2
river you will,2
serving food for,2
the family an,2
not kid-friendly it,2
a three-star venue,2
high-end italian food,2
the the high-priced,2
with alcohol this,2
alcohol this family-friendly,2
prices but lower,2
ratings near you,2
beside is an,2
dishes are more,2
not family-friendly also,2
japanese restaurant restaurant,2
family friendly american,2
american coffee shop,2
prices indian restaurant,2
pub in river,2
side called that,2
£20 for an,2
family-friendly with ratings,2
eat the restaurant,2
range however the,2
pub not child-friendly,2
center the prices,2
take out eat,2
out eat in,2
serving low rated,2
or less located,2
less located near,2
as moderately priced,2
an eatery serving,2
serving indian dishes,2
friendly establishment a,2
then £20 is,2
the is offering,2
stars this coffee,2
is situated nearby,2
fruit and drinks,2
riverside it welcomes,2
food from 20,2
25 euros rated,2
euros rated 3,2
for families offers,2
available restaurant serves,2
average and in,2
center the meals,2
a public house,2
public house serving,2
of £20-25 family,2
an adult place,2
a moderate-priced pub,2
environment the average,2
and cheap italian,2
family-friendly the family,2
's low priced,2
friendly located within,2
has ranges between,2
ranges between £20-£25,2
great but it,2
that serve high,2
serve high price,2
near the fast-food,2
meals at less,2
pricey and received,2
family-friendly and affordable,2
offering a coffee,2
atmosphere and french,2
dining establishment offers,2
that are in,2
of 5 servers,2
by its customer,2
less expensive coffee,2
customer ratings japanese,2
rated a restaurant,2
five-star restaurant and,2
a bistro coffee,2
bistro coffee shop,2
families and those,2
the cheap family,2
near near and,2
is the highly-rated,2
offers mid-range priced,2
food in just,2
in just for,2
just for £20-25,2
with average profile,2
average profile it,2
profile it is,2
priced venue located,2
near the around,2
the around the,2
at a one,2
family friendly its,2
located near specializes,2
a wide choice,2
wide choice of,2
miles from the,2
centre restaurant located,2
recommend it 's,2
are average has,2
highly acclaimed child,2
acclaimed child friendly,2
at the £30,2
the £30 plus,2
the a meal,2
pub near near,2
star rating called,2
medium price sushi,2
unfortunately it does,2
typically priced above,2
family-friendly environment good,2
environment good food,2
a venue which,2
friendly the venue,2
near although expensive,2
's a nice,2
a quite expensive,2
to a moderately,2
five-star pub in,2
across from a,2
from a school,2
moderate price food,2
price food is,2
centre for adults,2
japanese place for,2
city centre plates,2
centre plates are,2
expensive but the,2
expensive and lowly,2
rated but they,2
moderately-priced restaurant near,2
breads and alcohol,2
for its coffee,2
and its fast,2
higher priced than,2
priced than average,2
average it also,2
the an indian,2
cheap and kid,2
area look for,2
children friendly though,2
a pub meal,2
called with decent,2
rate the restaurant,2
the restaurant 1,2
restaurant 1 out,2
as a fast,2
restaurant so you,2
do not have,2
your children there,2
is children friend,2
food you might,2
to has english,2
by customers welcoming,2
customers welcoming customers,2
welcoming customers of,2
ages and keeping,2
and keeping prices,2
keeping prices low,2
prices low this,2
low this fast,2
restaurant is worth,2
worth the visit,2
the visit is,2
friendly they provide,2
by the crown,2
hotel and the,2
pub that ranges,2
that ranges more,2
is which received,2
for£20-25 is a,2
£30 the high,2
near yes is,2
yes is child,2
expensive family place,2
cheap breakfast for,2
£25 the is,2
place with french,2
restaurant regarded to,2
regarded to be,2
be high priced,2
with average chinese,2
average chinese meals,2
chinese meals is,2
named near to,2
within the higher,2
is called its,2
are very reasonable,2
near its locate,2
its locate a,2
locate a restaurant,2
adult only highly,2
only highly rated,2
20-25 in the,2
shop that bring,2
italian meal for,2
customer rating go,2
riverside that provide,2
rating with 3,2
family-friendly restaurant coffee,2
shop rating in,2
reasonable priced japanese,2
french food however,2
cheap restaurant the,2
visit for a,2
friendly indian eatery,2
affordable prices and,2
prices and very,2
of customers near,2
for cheap has,2
is near priced,2
near priced in,2
with kids is,2
are near go,2
near go visit,2
go visit a,2
near is set,2
is set at,2
set at a,2
range and features,2
friendly pub there,2
in cheap price,2
fast food looking,2
riverside try out,2
friendly service located,2
service located near,2
are priced less,2
fries they are,2
japanese venue in,2
of average for,2
its priced less,2
near is at,2
is near italian,2
near italian food,2
restaurant rated low,2
low by other,2
english place in,2
than l20 price,2
l20 price range,2
average quality sushi,2
quality sushi that,2
that has above,2
also a fast,2
three-star family restaurant,2
5 with low,2
restaurant they received,2
rated restaurant where,2
serves high-priced fast,2
english breakfast at,2
price near there,2
name of in,2
friendly riverside japanese,2
rated serving french,2
serves italian the,2
is sited near,2
offers highly recommended,2
affordable price the,2
rating is above,2
twenty two can,2
two can be,2
customer rating north,2
rating north of,2
centre is italian,2
the river where,2
low french restaurant,2
french restaurant thats,2
near is provides,2
near a place,2
would be located,2
it offers expensive,2
centre is there,2
for the japanese,2
star rating on,2
friendly atmosphere japanese,2
served at on,2
on riverside a,2
quality japanese for,2
moderately-priced chinese food,2
set along the,2
restaurant head to,2
near that serve,2
euros a meal,2
at 5 star,2
japanese foods near,2
foods near in,2
high near to,2
in this family,2
of not family,2
it offers deliveries,2
offers deliveries take-out,2
deliveries take-out and,2
take-out and eat-in,2
shop sells indian,2
rated japanese venue,2
very expensive and,2
riverside and in,2
range offers fast,2
a prince range,2
by serves english,2
riverside it does,2
but for adults,2
adults located in,2
and has children,2
friendly service the,2
friendly environment customer,2
environment customer ratings,2
cheaply priced but,2
near serves meals,2
serves meals from,2
food it boasts,2
and a non-child,2
high-priced range is,2
children allowed in,2
slightly pricey highly,2
pricey highly rated,2
a popular english,2
popular english restaurant,2
establishment is it,2
pub style is,2
style is a,2
centre as well,2
meals are normally,2
or more its,2
of low there,2
kids to it,2
kids will enjoy,2
will enjoy the,2
friendly british food,2
at close to,2
cost 5 star,2
prices but low,2
dine at an,2
relatively cheap and,2
italian meals are,2
river that also,2
italian they have,2
sits a kid,2
child friendly high-priced,2
friendly high-priced pub,2
shop that serve,2
friendly and ranges,2
and ranges more,2
to eat noodles,2
noodles is a,2
rating are 1,2
centre area children,2
rated venue serving,2
a budget between,2
budget between £20,2
price and rating,2
but with an,2
rated pub not,2
pub not family-friendly,2
serves average italian,2
excellent service and,2
wo n't want,2
want to pass,2
to pass this,2
pass this up,2
the not too,2
kid friendly low,2
rating french coffee,2
riverside high rated,2
£30 and do,2
children as it,2
friendly enjoy a,2
enjoy a family,2
and are reasonably,2
meals costing around,2
costing around e20-e25,2
e20-e25 they have,2
is low riverside,2
shop good customer,2
we offer fast,2
french they have,2
5 for average,2
a five-star sushi,2
five-star sushi restaurant,2
they sell a,2
and expensive coffee,2
rated place the,2
ratings is the,2
range although the,2
rated a five,2
of five this,2
this venue serves,2
riverside rated 1,2
shop with reasonable,2
for children also,2
for adult customers,2
shop by at,2
city which has,2
family friendly fine,2
friendly fine dining,2
dining restaurant named,2
kid-friendly restaurant by,2
shop outside the,2
called where the,2
restaurant then head,2
food restaurant priced,2
restaurant priced over,2
city centre known,2
centre known as,2
as is an,2
family-friendly british restaurant,2
the located riverside,2
and averages more,2
restaurant english food,2
but comes with,2
priced and the,2
on riverside however,2
are not cheap,2
but not too,2
pub restaurant serving,2
at a children,2
near serves inexpensive,2
inexpensive food near,2
indian in a,2
city center high,2
center high price,2
range but family-friendly,2
priced menu for,2
italian pub french,2
are typically over,2
but it costs,2
three stars serves,2
stars serves cheap,2
low-rated indian restaurant,2
the riverside i,2
great japanese placed,2
japanese placed called,2
placed called is,2
is near come,2
to a fast,2
food pub situated,2
and meals cost,2
but be prepared,2
near the name,2
range if more,2
ranges are more,2
than 30 british,2
30 british pounds,2
moderately priced adults-only,2
priced adults-only french,2
adults-only french coffee,2
near a city,2
and english cuisine,2
to providing japanese,2
prices than average,2
can be had,2
called the situated,2
a decent family,2
decent family friendly,2
food and excellent,2
offers low-priced fare,2
shop type italian,2
a cheap eating,2
and mid-range prices,2
mid-range prices the,2
customer ratings its,2
rating and goods,2
and goods cost,2
goods cost more,2
a child-friendly moderately,2
child-friendly moderately priced,2
low and families,2
rating come check,2
restaurant serving seafood,2
serving seafood at,2
seafood at affordable,2
low priced fine,2
low price one,2
price one star,2
venue serving indian,2
city centre riverside,2
food but for,2
costs is a,2
restaurant priced £20-£25,2
priced £20-£25 is,2
is average while,2
environment and prices,2
establishment serves french,2
5 is highly,2
£30 restaurant is,2
is family-friendly that,2
family-friendly that costs,2
the restaurant receives,2
is italian in,2
with the moderate,2
style food there,2
prices range and,2
and customer low,2
customer low rated,2
rated serves fast,2
high but customers,2
in the and,2
japanese style cuisine,2
l20-25 it is,2
high rating a,2
japanese food pricing,2
pricing more than,2
a great value,2
meal for cheap,2
there 's in,2
is around £20,2
low is coffee,2
located near de,2
near de river,2
de river is,2
non-family-friendly pub serving,2
is cheap poorly,2
fast food meals,2
meals average less,2
pounds is near,2
to that delivers,2
delivers take-away located,2
£20 it does,2
have given them,2
low cost there,2
cost there is,2
high priced one,2
and gets high,2
range and english,2
prices are ok,2
pub costing less,2
food joint yes,2
joint yes it,2
high rating among,2
customers the food,2
has an eat,2
eat type of,2
type of a,2
shop no family,2
in riverside riverside,2
medium price non,2
price non family,2
friendly restaurant outside,2
called serves high,2
£20-25 a pub,2
low rating by,2
customers gave a,2
gave a high,2
cheap price there,2
5-star rating and,2
called the high,2
near the 3,2
makes italian food,2
their family friendly,2
prices this restaurant,2
£20-25 range which,2
which is why,2
price scale the,2
service rating 3,2
ranked coffee shop,2
shop is great,2
are is a,2
£30 a child,2
city centre quite,2
centre quite close,2
quite close to,2
a english style,2
price range may,2
option they have,2
they serve great,2
low rated as,2
from the restaurant,2
neat there is,2
riverside restaurant offering,2
high-priced english menu,2
a child-friendly setting,2
is just south,2
family-friendly french cuisine,2
area with outstanding,2
new children friendly,2
called is now,2
now open near,2
open near the,2
to which has,2
city the prices,2
was given average,2
moderately-priced japanese food,2
city centre looking,2
centre looking for,2
the riverside tired,2
riverside tired of,2
tired of fast,2
fast food like,2
food like try,2
like try with,2
'll find italian,2
french establishment with,2
a 5-star family-friendly,2
5-star family-friendly restaurant,2
moderate-priced fast food,2
ideal for fast,2
children-friendly location and,2
location and offers,2
range offers chinese,2
friendly place by,2
and cheese they,2
cheese they are,2
environment and 1-star,2
and 1-star rating,2
1-star rating near,2
quaint riverside restaurant,2
high end family,2
end family friendly,2
specialized in italian,2
the riverfront it,2
english style high,2
is italian located,2
italian located by,2
cheap food less,2
food less then,2
a good offer,2
good offer on,2
offer on soft,2
on soft drinks,2
soft drinks potato,2
drinks potato fries,2
