mr,ref,alignment
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a children friendly Japanese pub in the Riverside area near Express by Holiday Inn.,(0: name) (15: familyfriendly) (33: food) (42: eattype) (53: area) (73: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Featuring Japanese cuisine and a pub atmosphere, the Green Man is situated on the riverside, near the Express by Holiday Inn.",(10: food) (33: eattype) (54: name) (83: area) (104: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a child friendly Japanese pub that is near the Express by Holiday Inn.,(0: name) (15: familyfriendly) (30: food) (39: eattype) (60: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",There is a child friendly Japanese pub named Green Man that is located near the Express by Holiday Inn.,(11: familyfriendly) (26: food) (35: eattype) (45: name) (80: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",The Green Man is a pub with Japanese food and is near Express by Holiday Inn.,(4: name) (19: eattype) (28: food) (54: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man  is a pub that offers Japanese food. It is near Express by Holiday Inn in the area of riverside and is children friendly.,(0: name) (15: eattype) (31: food) (58: near) (96: area) (112: familyfriendly)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man, is a family friendly pub near Express by Holiday Inn that offers Japanese cuisine.",(0: name) (16: familyfriendly) (32: eattype) (42: near) (77: food)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Japanese pub located by the riverside Express by Holiday Inn.,(0: name) (15: familyfriendly) (31: food) (40: eattype) (59: area) (69: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Near the Express by Holiday Inn in Riverside there is a children friendly Japanese pub called Green Man.,(9: near) (35: area) (56: familyfriendly) (74: food) (83: eattype) (94: name)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a pub serving Japanese food in the riverside area near the Express by Holiday Inn. It is known to be kids-friendly.,(0: name) (15: eattype) (27: food) (48: area) (72: near) (114: familyfriendly)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","If you are near the Express by Holiday Inn in riverside, bring the kids to Green Man for some coffee.",(20: near) (46: area) (67: familyfriendly) (76: name)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The Green Man, located on the riverside near the Express by Holiday Inn, features a kid-friendly pub atmosphere that serves Japanese cuisine as well.",(4: name) (31: area) (50: near) (84: familyfriendly) (97: eattype) (126: food)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The Green Man is a children friendly pub which serves Japanese food, and is located near the Express by Holiday Inn by the riverside.",(4: name) (19: familyfriendly) (37: eattype) (54: food) (94: near) (124: area)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",A pub with Japanese food is Green Man and is next to Express by Holiday Inn.,(2: eattype) (11: food) (28: name) (53: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Japanese pub  located near the Express by Holiday Inn in riverside,(0: name) (15: familyfriendly) (31: food) (40: eattype) (61: near) (87: area)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",The Green Man Japanese pub is family friendly.  It is along the riverside near the Express by Holiday Inn.,(4: name) (14: food) (23: eattype) (30: familyfriendly) (64: area) (83: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The Green Man is near Express by Holiday Inn and riverside.   It is a pub that provides Japanese food, and is family friendly.",(4: name) (22: near) (49: area) (68: eattype) (87: food) (108: familyfriendly)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man is a pub serving Japanese food. It is located near Express by Holiday Inn in the riverside area, and is child friendly",(0: name) (15: eattype) (27: food) (62: near) (92: area) (114: familyfriendly)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",A Japanese pub called the Green Man is family friendly. It is near the Express by Holiday Inn near the riverside.,(2: food) (11: eattype) (26: name) (39: familyfriendly) (72: near) (104: area)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a kid friendly pub in the riverside area that offers Japanese food near the Express by Holiday Inn,(0: name) (15: familyfriendly) (28: eattype) (39: area) (66: food) (89: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",near Express by Holiday Inn is a Japanese pub called Green Man. it is by the riverside and yes it is family friendly,(5: near) (33: food) (42: eattype) (53: name) (78: area) (101: familyfriendly)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Near the Express by Holiday Inn, on the riverside,  is the Japanese family friendly pub, Green Man.",(9: near) (41: area) (60: food) (67: familyfriendly) (83: eattype) (91: name)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man located in riverside near Express by Holiday Inn is a family friendly Japanese pub,(0: name) (21: area) (36: near) (64: familyfriendly) (80: food) (89: eattype)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a riverside pub by Express by Holiday Inn that serves Japanese food. It is children friendly.,(0: name) (15: area) (25: eattype) (32: near) (67: food) (88: familyfriendly)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man, is a family friendly riverside pub near the Express by Holiday Inn, that serves Japanese food.",(0: name) (16: familyfriendly) (33: area) (42: eattype) (56: near) (93: food)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","There is a pub style place in riverside that sells Japanese food, called Green Man. It is also kid friendly and located near Express by Holiday Inn.",(11: eattype) (30: area) (51: food) (74: name) (95: familyfriendly) (127: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a pub and also a Japanese pub great for family and close to Express by Holiday Inn,(0: name) (30: food) (39: eattype) (53: familyfriendly) (73: near)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a children friendly pub that offers Japanese food. It is near Express by Holiday Inn in the area of riverside.,(0: name) (15: familyfriendly) (33: eattype) (49: food) (76: near) (114: area)
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family pub but also with Japanese food its near to the Express by Holiday Inn,(0: name) (15: familyfriendly) (22: eattype) (40: food) (70: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man in the riverside area near the Express by Holiday Inn is an Italian restaurant which is child friendly.,(0: name) (17: area) (41: near) (70: food) (78: eattype) (98: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Italian food is available in  a children Friendly restaurant Green Man near Express by Holiday Inn in riverside,(0: food) (31: familyfriendly) (49: eattype) (60: name) (75: near) (101: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","By the riverside near the Express by Holiday Inn, is a children friendly restaurant named Green Man, which also serves Italian food.",(7: area) (26: near) (55: familyfriendly) (74: eattype) (91: name) (121: food)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man is a children friendly restaurant which serves Italian food,  and is located near the Express by Holiday Inn by the riverside.",(0: name) (15: familyfriendly) (33: eattype) (57: food) (96: near) (126: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a children friendly Italian restaurant along the riverside near Express by Holiday Inn.,(0: name) (15: familyfriendly) (33: food) (41: eattype) (62: area) (77: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man restaurant is located north of the city center. and close to the Express by Holiday Inn and welcomes families.  Green Man restaurant also offers meals and wine.,(0: name) (10: eattype) (76: near) (111: familyfriendly) (156: food)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a child-friendly Italian restaurant near Express by Holiday Inn in Riverside.,(0: name) (15: familyfriendly) (30: food) (38: eattype) (54: near) (80: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man serves Italian food in a family-friendly, restaurant environment. Near the river, it is conveniently located close to the Express by Holiday Inn.",(0: name) (17: food) (35: familyfriendly) (53: eattype) (87: area) (135: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",A kid friendly restaurant near the Express by Holiday Inn and the riverside that also serves Italian food and is called Green Man.,(2: familyfriendly) (15: eattype) (35: near) (66: area) (93: food) (120: name)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Located in riverside near Express by Holiday Inn is Green Man. It is a family friendly restaurant offering Italian food.,(11: area) (26: near) (52: name) (71: familyfriendly) (88: eattype) (108: food)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a restaurant located riverside near Express by Holiday Inn. It serves Italian food and is kid-friendly.,(0: name) (15: eattype) (34: area) (49: near) (84: food) (103: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a restaurant located by the river near the Express by Holiday Inn. It serves Italian food and is family friendly.,(0: name) (15: eattype) (41: area) (56: near) (91: food) (110: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Beside the Express by Holiday Inn and the river, there is an Italian food serving restaurant called Green Man. It is family friendly.",(11: near) (42: area) (62: food) (83: eattype) (101: name) (117: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The riverside is one of the many popular places to eat in Cambridge, in particular there is a restaurant named Green Man not far from the Express by Holiday Inn. This restaurant specialises in Italian food and is also a family friendly environment.",(4: area) (95: eattype) (112: name) (139: near) (195: food) (220: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",If you're looking for kid friendly Italian food in the riverside area - then the Green Man is for you. It is near the Express by Holiday Inn.,(23: familyfriendly) (36: food) (56: area) (80: name) (118: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man restaurant offers Italian food in the riverside area. It is near the Express by Holiday Inn.,(0: name) (10: eattype) (28: food) (48: area) (80: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Near Express by Holiday Inn their is a restaurant that is family friendly serving Italian food along the riverside named Green Man.,(5: near) (39: eattype) (58: familyfriendly) (82: food) (105: area) (121: name)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Near Express by Holiday Inn is Green Man, a children friendly restaurant that serves Italian food. It is located by the riverside.",(5: near) (31: name) (44: familyfriendly) (63: eattype) (86: food) (122: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",The Green Man is a kids friendly restaurant serving Italian food.  it is located in the riverside area near the Express by Holiday Inn.,(4: name) (19: familyfriendly) (33: eattype) (52: food) (88: area) (112: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is an Italian restaurant situated on the riverside near Express by Holiday Inn. Family friendly yes,(0: name) (16: food) (24: eattype) (51: area) (66: near) (90: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a restaurant on the river just north of the city center. It's located due east of the Express by Holiday Inn.,(0: name) (15: eattype) (33: area) (101: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man near Express by Holiday Inn in the riverside area is an Italian restaurant and child friendly,(0: name) (15: near) (45: area) (66: food) (74: eattype) (89: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",There is a family-friendly Italian restaurant near Express by Holiday Inn in the riverside area named Green Man,(11: familyfriendly) (27: food) (35: eattype) (51: near) (81: area) (102: name)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",There's a restaurant called the Green Man that serves Italian food near the Express by Holiday Inn in Riverside.  It's kids friendly.,(11: eattype) (33: name) (55: food) (77: near) (103: area) (120: familyfriendly)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Riverside the location of  a restaurant that is kids-friendly, serves Italian food, is called Green Man, it's near Express by Holiday Inn.",(0: area) (28: eattype) (47: familyfriendly) (70: food) (95: name) (118: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a restaurant that serves Italian food at the riverside. It is kids-friendly and is near Express by Holiday Inn.,(0: name) (15: eattype) (38: food) (58: area) (75: familyfriendly) (102: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly restaurant. It offers Italian  food and is located in riverside near Express by Holiday Inn.,(0: name) (15: familyfriendly) (31: eattype) (54: food) (85: area) (100: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man is a family-friendly restaurant just north of the city center. It is located on the river, just east of the Express by Holiday Inn.",(0: name) (15: familyfriendly) (31: eattype) (95: area) (120: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a kid friendly restaurant that also serves Italian food and is near the riverside and the Express by Holiday Inn.,(0: name) (15: familyfriendly) (28: eattype) (56: food) (85: area) (103: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man restaurant serves Italian food in a kids friendly setting.  located near the Express by Holiday Inn in the riverside area.,(0: name) (10: eattype) (28: food) (46: familyfriendly) (87: near) (117: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man restaurant is located close to the Express by Holiday Inn and is family friendly.  Green Man restaurant also offers pasta and wine.,(0: name) (10: eattype) (45: near) (75: familyfriendly) (126: food)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Near the riverside area and the Express by Holiday Inn is Green Man, a children friendly restaurant that serves Italian food.",(9: area) (32: near) (58: name) (71: familyfriendly) (90: eattype) (113: food)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Near Express by Holiday Inn, there is an Italian restaurant called Green Man. It is child friendly in the riverside area.",(5: near) (42: food) (50: eattype) (68: name) (84: familyfriendly) (108: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Italian restaurant in the riverside area close to Express by Holiday Inn.,(0: name) (15: familyfriendly) (31: food) (39: eattype) (57: area) (81: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family-friendly Italian restaurant located riverside near the Express by Holiday Inn.,(0: name) (15: familyfriendly) (31: food) (39: eattype) (58: area) (77: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","Near Raja Indian Cuisine, riverside, there is a children friendly Italian restaurant named Green Man.",(5: near) (27: area) (48: familyfriendly) (68: food) (76: eattype) (93: name)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Green Man is a restaurant that is family friendly serving Italian food near the Raja Indian Cuisine along the riverside.,(0: name) (15: eattype) (34: familyfriendly) (58: food) (80: near) (110: area)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",There is a child-friendly restaurant serving Italian food named Green Man in Riverside near Raja Indian Cuisine.,(11: familyfriendly) (26: eattype) (45: food) (64: name) (77: area) (92: near)
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Have you visited Green Man? Its a children friendly Italian restaurant near Raja Indian Cuisine located by the riverside.,(17: name) (35: familyfriendly) (53: food) (61: eattype) (77: near) (112: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant that isn't family-friendly, serves Japanese food near to the Express by Holiday Inn in the City centre",(0: name) (15: eattype) (38: familyfriendly) (63: food) (89: near) (119: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Green Man is a restaurant near Express by Holiday Inn in the city centre which serves Japanese food. It is not family-friendly.,(4: name) (19: eattype) (35: near) (65: area) (90: food) (115: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]","Near the Express by Holiday Inn in the city centre there is a non family-friendly restaurant called the Green Man, it serves Japanese food.",(9: near) (39: area) (66: familyfriendly) (82: eattype) (104: name) (126: food)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",For a restaurant that serves Japanese food near to the Express by Holiday Inn in the city centre and that isn't family-friendly then go to the Green Man,(6: eattype) (29: food) (55: near) (85: area) (113: familyfriendly) (144: name)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",Located near the Express by Holiday Inn in the city centre is a restaurant named Green Man.  They serve Japanese food and are not family-friendly.,(17: near) (47: area) (64: eattype) (81: name) (104: food) (129: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Green Man is a non-family-friendly restaurant that serves Japanese food near the Express by Holiday Inn in the city centre.,(4: name) (23: familyfriendly) (39: eattype) (62: food) (85: near) (115: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family-friendly restaurant. They serve Japanese food and are located near Express by Holiday Inn in the city centre.,(0: name) (15: familyfriendly) (31: eattype) (55: food) (90: near) (120: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Near the Express by Holiday Inn in the city centre is Green Man. It is a Japanese restaurant that is family-friendly.,(9: near) (39: area) (54: name) (74: food) (83: eattype) (101: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]","There is a family-friendly, Japanese restaurant near Express by Holiday Inn in city centre named Green Man.",(11: familyfriendly) (29: food) (38: eattype) (54: near) (80: area) (98: name)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]","Green Man, a Japanese restaurant near Express by Holiday Inn in city centre is family-friendly.",(0: name) (14: food) (23: eattype) (39: near) (65: area) (79: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family-friendly restaurant serving Japanese food. It can be found near the Express by Holiday Inn near city centre.,(0: name) (15: familyfriendly) (31: eattype) (50: food) (91: near) (119: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Near the Express by Holiday Inn in city centre is the family-friendly Green Man. This restaurant serves Japanese food.,(9: near) (35: area) (54: familyfriendly) (70: name) (87: eattype) (105: food)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant serving Japanese food, it's located in the riverside area near Express by Holiday Inn and is not family-friendly.",(0: name) (15: eattype) (34: food) (71: area) (91: near) (124: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",Located by the riverside near the Express by Holiday Inn is a restaurant named Green Man offering Japanese food in a non-family-friendly environment.,(15: area) (34: near) (62: eattype) (79: name) (98: food) (121: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",There is a Japanese restaurant Green Man located in riverside near  Express by Holiday Inn.  Not family-friendly.,(11: food) (20: eattype) (31: name) (52: area) (67: near) (95: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a non family friendly Japanese restaurant, just a short distance along the riverside from the Express by Holiday Inn.",(0: name) (19: familyfriendly) (35: food) (44: eattype) (89: area) (108: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant serving Japanese food, it's not family-friendly and is located in the riverside area near Express by Holiday Inn.",(0: name) (15: eattype) (34: food) (59: familyfriendly) (98: area) (118: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",The Green Man is a sushi and coffee place near the Express by Holiday Inn and does not permit families.,(4: name) (19: food) (51: near) (94: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Located by the riverside near the Express by Holiday Inn, Green Man is a Japanese restaurant that is not family friendly.",(15: area) (34: near) (59: name) (74: food) (83: eattype) (105: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",The Green Man is a non family friendly restaurant which is located next to the Express by Holiday Inn.,(4: name) (23: familyfriendly) (39: eattype) (79: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",The Green Man is a restaurant located next to Express by Holiday Inn. The Green Man is  a non family friendly restaurant.,(4: name) (19: eattype) (46: near) (93: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",Green Man is a restaurant serving Japanese food.  It is located by the riverside near the Express by Holiday Inn and is not family-friendly.,(0: name) (15: eattype) (34: food) (71: area) (90: near) (123: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",Green Man is a  Japanese restaurant located in riverside near Express by Holiday Inn.,(0: name) (15: food) (24: eattype) (46: area) (61: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",The Green Man is a family friendly restaurant near Express by Holiday Inn in the riverside area with Japanese food.,(4: name) (19: familyfriendly) (35: eattype) (51: near) (81: area) (101: food)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a children friendly restaurant that serves Japanese food. It is by the riverside near Express by Holiday Inn.,(0: name) (15: familyfriendly) (33: eattype) (56: food) (85: area) (100: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a child friendly restaurant which serves Japanese food and is located near Express by Holiday Inn in Riverside.,(0: name) (15: familyfriendly) (30: eattype) (54: food) (88: near) (114: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The Green Man, located near the Express by Holiday Inn in Riverside, is a kid friendly restaurant.",(4: name) (33: near) (59: area) (74: familyfriendly) (89: eattype)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man restaurant  in riverside near Express by Holiday Inn serves Japanese food and is children Friendly.,(0: name) (10: eattype) (24: area) (39: near) (69: food) (90: familyfriendly)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","There is a kids-friendly restaurant in near the Express by Holiday Inn in the riverside area. Named Green Man, it specializes in Japanese food.",(11: familyfriendly) (25: eattype) (48: near) (78: area) (101: name) (131: food)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",A kids Friendly Japanese restaurant along the riverside is called Green Man and is next to Express by Holiday Inn.,(2: familyfriendly) (16: food) (25: eattype) (46: area) (66: name) (91: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","By the Express by Holiday Inn and the riverside, there is a restaurant which serves Japanese food and is children friendly, named The Green Man.",(7: near) (38: area) (61: eattype) (85: food) (105: familyfriendly) (136: name)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man is located near the Express by Holiday Inn on the riverside, it is a family friendly restaurant serving Japanese foods.",(0: name) (30: near) (60: area) (79: familyfriendly) (96: eattype) (115: food)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a restaurant that offers Japanese food an is kid friendly. Its in the riverside area near the Express by Holiday Inn.,(0: name) (15: eattype) (38: food) (58: familyfriendly) (84: area) (108: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","Green Man is a kid friendly Japanese restaurant, near Express by Holiday Inn in riverside.",(0: name) (15: familyfriendly) (28: food) (37: eattype) (55: near) (81: area)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","The Green Man,  near Express by Holiday Inn in the riverside area, is a family friendly restaurant with Japanese food.",(4: name) (21: near) (51: area) (71: familyfriendly) (89: eattype) (105: food)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a Japanese restaurant family friendly located at the riverside near the Express by Holiday Inn.,(0: name) (15: food) (24: eattype) (35: familyfriendly) (66: area) (85: near)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","In riverside, near Express by Holiday Inn, there is a kid friendly Japanese restaurant named Green Man.",(3: area) (20: near) (54: familyfriendly) (69: food) (78: eattype) (95: name)
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]","In riverside, near Express by Holiday Inn, is a restaurant style place called Green Man. They serve Japanese food, and are kid friendly.",(3: area) (20: near) (50: eattype) (80: name) (103: food) (123: familyfriendly)
